,,,,
"Scott Peltier, PhD, Functional MRI Laboratory, University of Michigan","Dan Kessler, University of Michigan","Alejandro De La Vega, PhD, University of Texas at Austin","Zuo Xi-Nian, PhD, Chinese Academy of Sciences",
"Olaf Sporns, PhD, University of Indiana at Bloomington","Sharlene Newman, PhD, University of Indiana at Bloomington","Satra Ghosh, PhD, The Neuro Bureau
McGovern Institute for Brain Research, Massachusetts Institute of Technology
Department of Otology and Laryngology, Harvard Medical School","Koene Van Dijk, PhD, Harvard University",
"Kirstie Whitaker, PhD, University of Cambridge","Jason Druzgal, PhD, University of Virginia","Amalia McDonald, University of Viriginia","Tor Dessart Wager, PhD, University of Colorado at Boulder",
"Luka Ruzic, Duke Institute for Brain Sciences","Vesa Kiviniemi, MD, PhD, Oulu University Hospital","Zang Yu-Feng, MD, Hangzhou Normal University","Yating Lv, MD, Beijing Normal University",
"Anders Eklund, PhD, Universtiy of Linkoping","Gary Egan, PhD, University of Melbourne","Lucina Uddin, PhD, The Neuro Bureau
Department of Psychology, University of Miami, Coral Gables
Neuroscience Program, University of Miami Miller School of Medicine","Angie Laird, PhD, Department of Physics, Florida International University",
"Kathryn Mills, PhD, Oregon Health & Science University","Roberto Toro, PhD, The Neuro Bureau
Human Genetics and Cognitive Functions Unit, Institut Pasteur
Unit_ Mixte de Recherche 3571, Genes, Synapses and Cognition, Centre National de la Recherche Scientifique, Institut Pasteur","Gael Varoquaux, PhD, 	
INRIA","Felipe Rech Meneguzzi, PhD, Faculdade de Inform‡tica, PUCRS",
"Gautam Prasad, PhD, Laboratory of Neuro Imaging, Stevens Neuroimaging and Informatics Institute, Keck School of Medicine of University of Southern California","Tonya White, MD, PhD, University of Rotterdam","Jean-Baptiste Poline, PhD, Helen Wills Neuroscience Institute, University of California
Henry H. Wheeler Jr. Brain Imaging Center, University of California","Daniel J. Lurie, PhD, Department of Psychology, University of California",
"Russ Poldrack, PhD, Stanford University","Ariel Rokem, PhD, The University of Washington eScience Institute","Juan Helen Zhou, PhD, The Agency for Science, Technology and Research, Singapore","Thomas Yeo Boon Thye. PhD, National University of Singapore, SINAPSE, Duke-NUS & Athinoula A. Martinos Center for Biomedical Imaging (Harvard University)",
"Asier Erramuzpe Aliaga, PhD, BioCruces Health Research Institute","Malin Sandstrom, PhD, INCF","Michael Milham, PhD, Center for Biomedical Imaging and Neuromodulation, Nathan Kline Institute for Psychiatric Research
Center for the Developing Brain, Child Mind Institute","Franz Liem, University of Zurich",
"Brad Sutton, PhD, Beckman Institute, University of Illinois at Urbana-Champaign","John Capozzo, University of Illinois at Urbana-Champaign","Sepideh Sadaghiani, PhD, University of Illinois at Urbana-Champaign","Sanmi Koyejo, PhD, University of Illinois at Urbana-Champaign",
"John VanMeter, PhD, Center for Functional and Molecular Imaging, Georgetown University Medical Center","Shady El Damaty, Georgetown University","Rasmus Birn, PhD, University of Wisconsin at Madison","Deniz Vatansever, University of Cambridge",
"AmanPreet Badhwar, PhD, Centre de Recherche, Institut Universitaire de G_riatrie de Montr_al
Universit_ de Montr_al","Ben Cipollini, PhD, University of California","Daniel Clark, Center for the Developing Brain, Child Mind Institute","Krzysztof J. Gorgolewski, PhD, Poldrack Lab, Department of Psychology, Stanford University",
"Ayan Sengupta, Otto-von-Guericke University","Zia Mohaddes, Montr_al Neurological Institute, McGill University and Institute of Pscychology","Sebastien Dery, McConnell Brain Imaging Center, Montreal Neurological Institute","Weiran Deng, PhD, University of Hawaii John A. Burns School of Medicine",
"Glad Mihai, PhD, University of Greifswald","Nick Ketz, Department of Psychology and Neuroscience, University of Colorado","Andrew Reineberg, PhD, Institute of Cognitive Neuroscience, University College London, University of Colorado Boulder","Marianne C. Reddan, Department of Psychology and Neuroscience, University of Colorado",
"Caroline Froehlich, The Neuro Bureau
Computational Neuroimaging Lab, Center for Biomedical Imaging and Neuromodulation, Nathan S. Kline Institute for Psychiatric Research","Gil Dekel, PhD, City University of New York-Hunter College","Ben D. Fulcher, PhD, Monash Institute of Cognitive and Clinical Neurosciences, Monash University","Tristan Glatard, McGill Centre for Integrative Neuroscience (MCIN), Ludmer Centre for Neuroinformatics and Mental Health, Montreal Neurological Institute (MNI), McGill University
University of Lyon, CNRS, INSERM, CREATIS.",
"R_mi Bernard, McGill Centre for Integrative Neuroscience (MCIN), Ludmer Centre for Neuroinformatics and Mental Health, Montreal Neurological Institute (MNI), McGill University","Najmeh Khalili-Mahani, PhD, McGill Centre for Integrative Neuroscience (MCIN), Ludmer Centre for Neuroinformatics and Mental Health, Montreal Neurological Institute (MNI), McGill University","Pierre Rioux, McGill Centre for Integrative Neuroscience (MCIN), Ludmer Centre for Neuroinformatics and Mental Health, Montreal Neurological Institute (MNI), McGill University","Marc-ƒtienne Rousseau, McGill Centre for Integrative Neuroscience (MCIN), Ludmer Centre for Neuroinformatics and Mental Health, Montreal Neurological Institute (MNI), McGill University",
